time	V(n004)	V(n005)
1.192738819026820e-03	2.999190e+00	4.984826e-01
1.215414819026820e-03	3.212305e+00	4.970179e-01
1.238090819026820e-03	3.436919e+00	4.950648e-01
1.260766819026820e-03	3.670729e+00	4.926254e-01
1.283442819026820e-03	3.911577e+00	4.897020e-01
1.306118819026820e-03	4.157448e+00	4.862976e-01
1.328794819026820e-03	4.406365e+00	4.824153e-01
1.351470819026819e-03	4.656464e+00	4.780592e-01
1.374146819026819e-03	4.905906e+00	4.732333e-01
1.396822819026819e-03	5.152929e+00	4.679426e-01
1.419498819026819e-03	5.395789e+00	4.621921e-01
1.442174819026819e-03	5.632797e+00	4.559876e-01
1.464850819026819e-03	5.862293e+00	4.493351e-01
1.487526819026819e-03	6.082679e+00	4.422411e-01
1.510202819026819e-03	6.292422e+00	4.347127e-01
1.532878819026819e-03	6.490096e+00	4.267572e-01
1.555554819026819e-03	6.674414e+00	4.183824e-01
1.578230819026818e-03	6.844279e+00	4.095967e-01
1.600906819026818e-03	6.998838e+00	4.004084e-01
1.623582819026818e-03	7.137536e+00	3.908269e-01
1.646258819026818e-03	7.260152e+00	3.808613e-01
1.668934819026818e-03	7.366840e+00	3.705216e-01
1.691610819026818e-03	7.458115e+00	3.598179e-01
1.714286819026818e-03	7.534838e+00	3.487607e-01
1.736962819026818e-03	7.598152e+00	3.373609e-01
1.759638819026818e-03	7.649409e+00	3.256296e-01
1.782314819026818e-03	7.690081e+00	3.135784e-01
1.804990819026818e-03	7.721672e+00	3.012191e-01
1.827666819026817e-03	7.745641e+00	2.885640e-01
1.850342819026817e-03	7.763344e+00	2.756253e-01
1.873018819026817e-03	7.775994e+00	2.624158e-01
1.895694819026817e-03	7.784640e+00	2.489485e-01
1.918370819026817e-03	7.790166e+00	2.352367e-01
1.941046819026817e-03	7.793295e+00	2.212938e-01
1.963722819026817e-03	7.794611e+00	2.071334e-01
1.986398819026817e-03	7.794568e+00	1.927696e-01
2.009074819026817e-03	7.793523e+00	1.782163e-01
2.031750819026817e-03	7.791743e+00	1.634880e-01
