time	V(n001)	V(n002)
7.847442254932961e-04	-4.961982e+00	-3.347192e+00
7.857442254932961e-04	-4.970032e+00	-3.381271e+00
8.017442254932961e-04	-4.968600e+00	-3.843236e+00
8.244202254932961e-04	-4.552525e+00	-4.199792e+00
8.254202254932961e-04	-4.523445e+00	-4.206912e+00
8.414202254932961e-04	-3.944381e+00	-4.214766e+00
8.424202254932961e-04	-3.901433e+00	-4.208622e+00
8.584202254932961e-04	-3.118445e+00	-4.005373e+00
8.594202254932961e-04	-3.063999e+00	-3.986128e+00
8.754202254932960e-04	-2.120319e+00	-3.580618e+00
8.764202254932961e-04	-2.057383e+00	-3.549214e+00
8.784202254932961e-04	-1.930337e+00	-3.483139e+00
8.824202254932961e-04	-1.671899e+00	-3.345834e+00
8.834202254932961e-04	-1.606456e+00	-3.309906e+00
8.904202254932961e-04	-1.140431e+00	-3.041492e+00
8.914202254932961e-04	-1.072878e+00	-3.000760e+00
9.044202254932961e-04	-1.807091e-01	-2.423923e+00
9.054202254932961e-04	-1.114671e-01	-2.375970e+00
9.074202254932962e-04	2.706774e-02	-2.277889e+00
9.114202254932962e-04	3.039688e-01	-2.078434e+00
9.124202254932962e-04	3.730814e-01	-2.027552e+00
9.194202254932961e-04	8.541237e-01	-1.661462e+00
9.204202254932962e-04	9.222935e-01	-1.607786e+00
9.334202254932961e-04	1.787682e+00	-8.878816e-01
9.344202254932962e-04	1.852202e+00	-8.308768e-01
9.504202254932961e-04	2.827972e+00	9.155357e-02
9.514202254932961e-04	2.884826e+00	1.497582e-01
9.572274554148176e-04	3.203709e+00	4.865425e-01
9.582274554148176e-04	3.256584e+00	5.442832e-01
9.615029146686347e-04	3.425344e+00	7.323027e-01
9.625029146686347e-04	3.475477e+00	7.892739e-01
9.642127905763125e-04	3.559647e+00	8.856779e-01
9.657728259383616e-04	3.634700e+00	9.715952e-01
9.675112064373780e-04	3.716331e+00	1.062048e+00
9.690997001252117e-04	3.789040e+00	1.134886e+00
9.709691328307496e-04	3.872256e+00	1.200088e+00
9.725764254493938e-04	3.941728e+00	1.235008e+00
9.745009571809826e-04	4.022337e+00	1.254975e+00
9.764616147393567e-04	4.101520e+00	1.262719e+00
9.788214283621840e-04	4.192804e+00	1.267279e+00
9.816610416471564e-04	4.296699e+00	1.270512e+00
9.864409211718793e-04	4.456490e+00	1.275465e+00
9.928368619491598e-04	4.639634e+00	1.280957e+00
1.005628743503721e-03	4.895549e+00	1.288291e+00
1.006628743503721e-03	4.909163e+00	1.288653e+00
1.022628743503721e-03	4.997634e+00	1.291327e+00
1.023628743503721e-03	4.995024e+00	1.291297e+00
1.039628743503721e-03	4.823769e+00	1.287429e+00
1.040628743503720e-03	4.805078e+00	1.286975e+00
1.056628743503720e-03	4.383554e+00	1.275977e+00
1.057628743503720e-03	4.349813e+00	1.275047e+00
1.073628743503720e-03	3.701296e+00	1.255065e+00
1.074628743503720e-03	3.654369e+00	1.253472e+00
1.090628743503720e-03	2.814667e+00	1.219659e+00
1.091628743503720e-03	2.757145e+00	1.216960e+00
1.107628743503720e-03	1.772622e+00	1.154736e+00
1.108628743503720e-03	1.707682e+00	1.149642e+00
1.110628743503720e-03	1.576829e+00	1.138134e+00
1.114628743503720e-03	1.311595e+00	1.112359e+00
1.115628743503720e-03	1.244625e+00	1.105030e+00
1.120109290967419e-03	9.418132e-01	1.066792e+00
1.121109290967419e-03	8.736929e-01	1.056977e+00
1.129070385894818e-03	3.264869e-01	9.557680e-01
1.130070385894818e-03	2.573335e-01	9.399855e-01
1.133786848073000e-03	-3.031047e-11	8.737679e-01
